Fixture,Score
Mexico vs South Africa,2-0
South Korea vs Czechia,2-1
Canada vs Bosnia and Herzegovina,1-1
USA vs Paraguay,4-1
Qatar vs Switzerland,1-1
Brazil vs Morocco,1-1
Haiti vs Scotland,0-1
Australia vs Türkiye,2-0
Germany vs Curaçao,7-1
Netherlands vs Japan,2-2
Ivory Coast vs Ecuador,1-0
Sweden vs Tunisia,5-1
Spain vs Cape Verde,0-0
Belgium vs Egypt,1-1
Saudi Arabia vs Uruguay,1-1
Iran vs New Zealand,2-2
France vs Senegal,3-1
Iraq vs Norway,1-4
Argentina vs Algeria,3-0
Austria vs Jordan,3-1
Portugal vs Congo DR,1-1
England vs Croatia,4-2
Ghana vs Panama,1-0
Uzbekistan vs Colombia,1-3
